Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offensive eFG%,Offensive TOV%,Offensive ORB%,Offensive FT/FGA,Defensive eFG%,Defensive TOV%,Defensive DRB%,Defensive FT/FGA,Arena,Attend.,Attend./G,season
17.0,Houston Rockets,26.8,29.0,53.0,33.0,49.0,-3.09,-0.04,-3.12,105.3,108.2,-2.9,104.7,0.284,0.02,0.535,0.497,15.6,32.8,0.21,0.486,14.1,67.5,0.285,The Summit,"425,755",10384.0,1984
18.0,Washington Bullets,26.2,35.0,47.0,33.0,49.0,-2.89,0.53,-2.36,104.2,107.2,-3.0,97.4,0.319,0.041,0.535,0.489,15.5,30.1,0.241,0.492,13.7,69.7,0.239,Capital Centre,"317,447",7743.0,1984
19.0,San Diego Clippers,25.5,30.0,52.0,33.0,49.0,-3.26,0.04,-3.21,109.2,112.4,-3.2,101.1,0.331,0.017,0.541,0.498,15.3,37.7,0.244,0.513,12.9,68.2,0.236,San Diego Sports Arena,"218,534",5330.0,1984
20.0,Golden State Warriors,25.6,37.0,45.0,32.0,50.0,-3.4,0.05,-3.35,105.5,108.8,-3.3,103.3,0.342,0.03,0.52,0.471,14.9,35.6,0.254,0.519,17.0,64.2,0.25,Oakland-Alameda County Coliseum Arena,"316,844",7728.0,1984
21.0,Cleveland Cavaliers,25.4,28.0,54.0,30.0,52.0,-4.26,0.55,-3.71,104.1,108.5,-4.4,97.4,0.301,0.023,0.512,0.468,14.0,33.5,0.224,0.49,13.2,70.8,0.28,Coliseum at Richfield,"208,094",5075.0,1984
22.0,Indiana Pacers,24.4,26.0,56.0,28.0,54.0,-4.82,0.57,-4.25,101.8,106.5,-4.7,102.1,0.297,0.029,0.531,0.487,15.9,28.1,0.228,0.497,16.2,66.8,0.255,Market Square Arena,"410,626",10015.0,1984
23.0,Chicago Bulls,24.4,27.0,55.0,28.0,54.0,-5.18,0.5,-4.69,102.4,107.5,-5.1,99.8,0.36,0.017,0.526,0.475,16.3,32.3,0.268,0.497,15.6,67.2,0.266,Chicago Stadium,"256,430",6254.0,1984
1.0,Los Angeles Lakers,27.4,62.0,20.0,58.0,24.0,7.35,-0.87,6.48,114.1,107.0,7.1,103.2,0.308,0.041,0.589,0.551,15.7,33.8,0.235,0.485,13.7,67.1,0.22,The Forum,"610,361",14887.0,1985
2.0,Milwaukee Bucks,25.7,59.0,23.0,58.0,24.0,6.85,-0.16,6.69,110.5,103.6,6.9,99.7,0.341,0.041,0.545,0.497,14.2,35.4,0.258,0.467,16.1,65.6,0.29,MECCA Arena,"422,924",10315.0,1985
3.0,Boston Celtics,28.5,63.0,19.0,57.0,25.0,6.65,-0.18,6.47,112.8,106.3,6.5,101.6,0.315,0.042,0.564,0.515,13.8,32.8,0.254,0.481,12.6,70.4,0.198,Boston Garden,"610,547",14890.0,1985
4.0,Philadelphia 76ers,27.9,58.0,24.0,51.0,31.0,4.1,0.07,4.17,111.3,107.3,4.0,100.8,0.412,0.032,0.561,0.497,16.0,37.4,0.331,0.494,15.7,66.6,0.259,The Spectrum,"575,415",14035.0,1985
5.0,Portland Trail Blazers,25.2,42.0,40.0,49.0,33.0,3.4,-0.6,2.8,110.4,107.2,3.2,103.5,0.362,0.027,0.554,0.506,14.8,34.0,0.271,0.497,15.9,64.4,0.232,Memorial Coliseum,"519,306",12666.0,1985
6.0,Detroit Pistons,26.9,46.0,36.0,47.0,35.0,2.49,0.24,2.73,109.6,107.2,2.4,105.0,0.283,0.025,0.529,0.483,13.0,35.4,0.223,0.501,14.9,69.6,0.245,Pontiac Silverdome,"691,550",17130.0,1985
7.0,Denver Nuggets,28.3,52.0,30.0,47.0,35.0,2.44,-0.39,2.05,110.7,108.4,2.3,107.6,0.322,0.029,0.54,0.491,13.2,33.6,0.253,0.516,17.0,66.1,0.275,McNichols Sports Arena,"448,546",10940.0,1985
8.0,Dallas Mavericks,25.0,44.0,38.0,47.0,35.0,2.17,-0.37,1.8,111.5,109.3,2.2,98.8,0.319,0.061,0.549,0.499,12.5,30.7,0.253,0.51,14.2,68.8,0.221,Reunion Arena,"683,916",16681.0,1985
9.0,Houston Rockets,25.3,48.0,34.0,45.0,37.0,1.72,-0.34,1.38,107.9,106.3,1.6,102.2,0.304,0.025,0.54,0.507,16.0,37.4,0.213,0.487,15.2,67.4,0.259,The Summit,"553,014",13488.0,1985
10.0,San Antonio Spurs,28.1,41.0,41.0,43.0,39.0,0.91,-0.29,0.63,109.9,109.0,0.9,103.9,0.357,0.028,0.565,0.517,15.6,33.2,0.272,0.501,15.0,68.5,0.269,HemisFair Arena,"351,950",8584.0,1985
11.0,New Jersey Nets,26.5,42.0,40.0,42.0,40.0,0.23,0.41,0.64,107.9,107.7,0.2,101.0,0.3,0.03,0.532,0.493,13.8,33.9,0.219,0.505,15.6,68.2,0.263,Brendan Byrne Arena,"502,177",12243.0,1985
12.0,Utah Jazz,27.0,41.0,41.0,41.0,41.0,-0.11,-0.22,-0.33,103.3,103.4,-0.1,105.1,0.333,0.042,0.534,0.483,15.8,29.0,0.257,0.469,15.7,65.3,0.238,Salt Palace,"371,829",8910.0,1985
13.0,Washington Bullets,27.1,40.0,42.0,40.0,42.0,-0.27,0.42,0.15,104.3,104.6,-0.3,100.3,0.269,0.054,0.524,0.486,13.4,27.5,0.2,0.491,15.3,68.2,0.226,Capital Centre,"383,098",9344.0,1985
14.0,Chicago Bulls,25.2,38.0,44.0,39.0,43.0,-0.84,0.34,-0.5,108.7,109.6,-0.9,99.4,0.366,0.023,0.556,0.502,15.4,32.2,0.287,0.495,13.8,67.5,0.257,Chicago Stadium,"487,297",11885.0,1985
15.0,Atlanta Hawks,25.5,34.0,48.0,37.0,45.0,-1.45,0.31,-1.14,105.9,107.3,-1.4,99.8,0.333,0.033,0.536,0.489,15.3,32.5,0.25,0.485,15.2,63.8,0.249,Omni Coliseum,"290,746",8479.0,1985
16.0,Phoenix Suns,26.4,36.0,46.0,35.0,47.0,-2.11,-0.23,-2.34,104.7,106.8,-2.1,102.5,0.319,0.043,0.544,0.497,16.3,29.8,0.246,0.498,15.0,68.3,0.24,Arizona Veterans Memorial Coliseum,"478,788",11678.0,1985
17.0,Kansas City Kings,26.1,31.0,51.0,34.0,48.0,-2.67,-0.04,-2.71,109.5,112.1,-2.6,104.4,0.357,0.033,0.559,0.508,15.9,34.0,0.278,0.514,14.2,66.6,0.262,Kemper Arena,"262,813",6410.0,1985
18.0,Cleveland Cavaliers,26.6,36.0,46.0,34.0,48.0,-2.76,0.48,-2.27,106.0,108.7,-2.7,101.9,0.338,0.045,0.526,0.478,14.1,32.9,0.254,0.483,13.7,66.9,0.265,Coliseum at Richfield,"324,004",7903.0,1985
19.0,Los Angeles Clippers,27.3,31.0,51.0,30.0,52.0,-4.49,-0.07,-4.55,105.8,110.3,-4.5,100.9,0.31,0.026,0.543,0.499,16.4,33.8,0.235,0.495,12.7,66.1,0.21,Los Angeles Memorial Sports Arena,"384,519",9379.0,1985
20.0,New York Knicks,25.8,24.0,58.0,29.0,53.0,-4.63,0.54,-4.09,104.9,109.6,-4.7,99.5,0.331,0.028,0.53,0.487,15.2,31.7,0.24,0.499,16.5,63.3,0.339,Madison Square Garden (IV),"457,137",11150.0,1985
21.0,Seattle SuperSonics,26.4,31.0,51.0,27.0,55.0,-5.44,0.0,-5.44,102.8,108.2,-5.4,99.3,0.334,0.027,0.529,0.477,15.9,30.0,0.257,0.498,14.6,67.3,0.238,"303,344",,,1985
22.0,Indiana Pacers,24.1,22.0,60.0,26.0,56.0,-6.21,0.75,-5.46,102.5,108.4,-5.9,105.1,0.344,0.021,0.527,0.478,16.1,31.7,0.255,0.499,14.3,70.5,0.282,Market Square Arena,"438,377",10662.0,1985
23.0,Golden State Warriors,26.1,22.0,60.0,24.0,58.0,-7.34,0.13,-7.21,106.0,113.0,-7.0,103.2,0.335,0.053,0.522,0.47,14.4,34.5,0.257,0.54,16.1,66.0,0.268,Oakland-Alameda County Coliseum Arena,"300,586",7331.0,1985
1.0,Boston Celtics,29.3,67.0,15.0,63.0,19.0,9.41,-0.36,9.06,111.8,102.6,9.2,101.2,0.307,0.054,0.564,0.518,14.1,31.3,0.244,0.466,13.0,71.7,0.216,Boston Garden,610571.0,14890.0,1986
2.0,Milwaukee Bucks,26.0,57.0,25.0,62.0,20.0,9.04,-0.35,8.69,111.4,102.7,8.7,102.1,0.369,0.052,0.552,0.501,13.9,33.8,0.282,0.473,16.6,67.4,0.281,MECCA Arena,443064.0,10806.0,1986
3.0,Los Angeles Lakers,28.1,62.0,20.0,59.0,23.0,7.74,-0.91,6.84,113.3,105.8,7.5,102.7,0.317,0.056,0.575,0.532,14.9,33.1,0.247,0.484,13.5,69.8,0.239,The Forum,691071.0,16855.0,1986
4.0,Houston Rockets,26.0,51.0,31.0,48.0,34.0,2.61,-0.51,2.1,110.1,107.6,2.5,103.5,0.317,0.04,0.536,0.496,13.6,35.5,0.232,0.497,14.8,67.2,0.243,The Summit,604644.0,14747.0,1986
5.0,Atlanta Hawks,25.3,50.0,32.0,47.0,35.0,2.37,0.22,2.59,107.9,105.6,2.3,100.0,0.385,0.024,0.542,0.493,15.3,34.9,0.282,0.481,15.4,66.7,0.269,Omni Coliseum,377351.0,9204.0,1986
6.0,Philadelphia 76ers,28.0,54.0,28.0,47.0,35.0,2.35,0.11,2.46,108.6,106.3,2.3,100.5,0.398,0.032,0.546,0.49,16.1,37.3,0.302,0.499,15.6,66.7,0.211,The Spectrum,513459.0,12506.0,1986
7.0,Denver Nuggets,28.1,47.0,35.0,44.0,38.0,1.3,-0.42,0.89,107.1,105.9,1.2,106.7,0.307,0.039,0.527,0.475,13.0,30.9,0.245,0.495,16.9,64.1,0.266,McNichols Sports Arena,531824.0,12971.0,1986
8.0,Dallas Mavericks,25.8,44.0,38.0,44.0,38.0,1.1,-0.4,0.7,112.1,111.0,1.1,102.2,0.364,0.061,0.562,0.51,13.3,30.0,0.283,0.508,13.0,66.8,0.201,Reunion Arena,693052.0,16904.0,1986
9.0,Detroit Pistons,26.5,46.0,36.0,44.0,38.0,1.17,0.27,1.44,109.0,107.9,1.1,104.2,0.297,0.023,0.534,0.488,13.3,33.5,0.232,0.496,14.9,67.6,0.266,Pontiac Silverdome,695233.0,16957.0,1986
10.0,Portland Trail Blazers,26.6,40.0,42.0,44.0,38.0,1.06,-0.45,0.61,109.2,108.2,1.0,104.5,0.384,0.038,0.554,0.501,15.2,32.8,0.294,0.507,16.4,66.3,0.275,Memorial Coliseum,519306.0,12666.0,1986
11.0,Seattle SuperSonics,26.6,31.0,51.0,41.0,41.0,-0.1,-0.37,-0.47,105.9,106.0,-0.1,97.4,0.33,0.042,0.53,0.478,15.1,33.2,0.257,0.492,15.7,68.7,0.282,Seattle Center Coliseum,329296.0,8032.0,1986
12.0,Utah Jazz,26.3,42.0,40.0,40.0,42.0,-0.37,-0.3,-0.67,104.2,104.6,-0.4,103.3,0.38,0.024,0.536,0.49,15.5,29.8,0.272,0.477,15.4,67.2,0.258,Salt Palace,477833.0,11654.0,1986
13.0,San Antonio Spurs,27.8,35.0,47.0,36.0,46.0,-1.85,-0.2,-2.06,106.5,108.2,-1.7,103.8,0.355,0.028,0.555,0.509,16.5,31.7,0.265,0.499,15.2,67.6,0.26,HemisFair Arena,336369.0,8204.0,1986
14.0,Washington Bullets,27.1,39.0,43.0,36.0,46.0,-1.8,0.53,-1.28,103.0,104.8,-1.8,99.1,0.32,0.057,0.518,0.471,14.2,29.1,0.238,0.472,14.2,66.1,0.224,Capital Centre,373802.0,9117.0,1986
15.0,New Jersey Nets,27.5,39.0,43.0,36.0,46.0,-1.99,0.6,-1.39,105.0,106.9,-1.9,103.3,0.328,0.029,0.536,0.489,15.9,33.3,0.248,0.499,15.5,70.6,0.282,Brendan Byrne Arena,482854.0,11777.0,1986
16.0,Cleveland Cavaliers,27.0,29.0,53.0,34.0,48.0,-2.87,0.68,-2.19,105.5,108.3,-2.8,101.6,0.321,0.054,0.535,0.49,14.6,30.3,0.241,0.48,13.6,68.5,0.292,Coliseum at Richfield,391842.0,9557.0,1986
17.0,Phoenix Suns,26.3,32.0,50.0,33.0,49.0,-2.99,-0.17,-3.16,104.3,107.2,-2.9,104.8,0.384,0.026,0.552,0.506,17.7,31.3,0.279,0.495,15.1,68.3,0.279,Arizona Veterans Memorial Coliseum,455763.0,11116.0,1986
18.0,Sacramento Kings,26.6,37.0,45.0,33.0,49.0,-3.07,-0.12,-3.19,106.2,109.2,-3.0,102.0,0.324,0.019,0.541,0.492,15.7,32.7,0.252,0.499,14.4,67.5,0.273,ARCO Arena (I),423653.0,10333.0,1986
19.0,Indiana Pacers,25.0,26.0,56.0,32.0,50.0,-3.33,0.67,-2.66,102.6,105.9,-3.3,100.9,0.305,0.02,0.525,0.483,15.7,31.5,0.226,0.479,13.7,71.3,0.277,Market Square Arena,460969.0,11243.0,1986
20.0,Golden State Warriors,26.8,30.0,52.0,33.0,49.0,-3.45,-0.14,-3.59,108.3,111.6,-3.3,104.2,0.333,0.037,0.536,0.488,13.9,33.5,0.253,0.524,14.9,66.7,0.241,Oakland-Alameda County Coliseum Arena,401205.0,9785.0,1986
21.0,Chicago Bulls,26.6,30.0,52.0,31.0,51.0,-3.8,0.69,-3.12,108.6,112.4,-3.8,99.7,0.346,0.044,0.538,0.487,14.7,35.1,0.266,0.509,13.5,67.4,0.28,Chicago Stadium,469226.0,11445.0,1986
22.0,New York Knicks,25.5,23.0,59.0,26.0,56.0,-5.61,0.79,-4.82,99.5,105.2,-5.7,98.6,0.318,0.034,0.505,0.466,15.2,29.5,0.218,0.484,17.1,65.0,0.315,Madison Square Garden (IV),592484.0,14451.0,1986
23.0,Los Angeles Clippers,27.0,32.0,50.0,24.0,58.0,-6.93,0.1,-6.83,105.4,112.1,-6.7,102.7,0.374,0.032,0.534,0.477,15.3,32.0,0.288,0.512,14.0,64.0,0.225,Los Angeles Memorial Sports Arena,337814.0,8239.0,1986
1.0,Los Angeles Lakers,27.8,65.0,17.0,62.0,20.0,9.3,-0.99,8.32,115.6,106.5,9.1,101.6,0.352,0.062,0.577,0.528,14.0,34.1,0.278,0.476,13.8,66.3,0.23,The Forum,681207.0,16615.0,1987
2.0,Atlanta Hawks,26.1,57.0,25.0,59.0,23.0,7.23,-0.05,7.18,112.6,105.2,7.4,97.4,0.373,0.06,0.543,0.49,13.3,37.2,0.283,0.46,13.9,67.4,0.284,Omni Coliseum,549526.0,13403.0,1987
3.0,Boston Celtics,29.4,59.0,23.0,57.0,25.0,6.65,-0.08,6.57,113.5,106.8,6.7,98.6,0.305,0.08,0.577,0.532,14.0,29.0,0.247,0.471,12.0,67.6,0.217,Boston Garden,611222.0,14890.0,1987
4.0,Dallas Mavericks,26.4,55.0,27.0,56.0,26.0,6.3,-0.77,5.54,114.9,108.7,6.2,100.5,0.369,0.089,0.558,0.503,12.3,33.8,0.291,0.486,13.5,66.5,0.233,Reunion Arena,696333.0,16984.0,1987
5.0,Milwaukee Bucks,27.7,50.0,32.0,51.0,31.0,3.91,0.12,4.04,109.5,105.6,3.9,100.3,0.35,0.079,0.539,0.487,13.0,31.1,0.268,0.479,16.0,66.1,0.307,MECCA Arena,451797.0,11019.0,1987
6.0,Detroit Pistons,26.8,52.0,30.0,50.0,32.0,3.44,0.07,3.51,109.2,105.8,3.4,101.0,0.36,0.023,0.544,0.492,14.5,34.7,0.275,0.471,13.3,69.9,0.267,Pontiac Silverdome,907520.0,22135.0,1987
7.0,Portland Trail Blazers,26.9,49.0,33.0,49.0,33.0,3.13,-0.57,2.57,111.5,108.6,2.9,105.0,0.404,0.047,0.566,0.51,15.3,34.1,0.313,0.493,14.8,66.6,0.265,Memorial Coliseum,519306.0,12666.0,1987
8.0,Houston Rockets,26.1,42.0,40.0,44.0,38.0,1.0,-0.4,0.6,106.5,105.5,1.0,99.9,0.324,0.045,0.528,0.483,14.3,33.5,0.24,0.47,14.1,68.0,0.261,The Summit,660175.0,16102.0,1987
9.0,Chicago Bulls,25.4,40.0,42.0,43.0,39.0,0.89,0.37,1.26,108.6,107.6,1.0,95.8,0.315,0.042,0.528,0.478,13.4,35.0,0.245,0.491,13.8,70.0,0.251,Chicago Stadium,650818.0,15874.0,1987
10.0,Utah Jazz,26.9,44.0,38.0,42.0,40.0,0.4,-0.36,0.04,104.1,103.7,0.4,103.2,0.318,0.06,0.516,0.473,14.1,31.2,0.231,0.466,15.7,65.2,0.269,Salt Palace,491382.0,11985.0,1987
11.0,Seattle SuperSonics,26.1,39.0,43.0,42.0,40.0,0.46,-0.39,0.08,110.7,110.3,0.4,101.8,0.345,0.077,0.543,0.495,15.0,37.6,0.261,0.486,13.5,66.0,0.296,Seattle Center Coliseum,356352.0,8692.0,1987
12.0,Philadelphia 76ers,26.6,45.0,37.0,40.0,42.0,-0.2,0.31,0.11,108.3,108.5,-0.2,97.3,0.385,0.05,0.549,0.497,16.1,34.9,0.29,0.499,14.5,65.7,0.215,The Spectrum,587748.0,14335.0,1987
13.0,Indiana Pacers,25.9,41.0,41.0,39.0,43.0,-0.65,0.47,-0.17,106.0,106.6,-0.6,98.8,0.296,0.043,0.525,0.478,13.4,30.5,0.232,0.487,14.9,68.8,0.281,Market Square Arena,521007.0,12707.0,1987
14.0,Denver Nuggets,28.2,37.0,45.0,39.0,43.0,-0.87,-0.28,-1.14,109.3,110.2,-0.9,106.2,0.323,0.049,0.527,0.478,11.8,32.2,0.248,0.503,15.4,67.0,0.307,McNichols Sports Arena,494943.0,12072.0,1987
15.0,Washington Bullets,25.9,42.0,40.0,37.0,45.0,-1.37,0.35,-1.02,105.7,107.0,-1.3,100.2,0.342,0.029,0.511,0.457,13.3,34.5,0.262,0.48,14.6,63.4,0.222,Capital Centre,485316.0,11837.0,1987
16.0,Phoenix Suns,26.0,36.0,46.0,35.0,47.0,-2.44,-0.19,-2.63,108.0,110.3,-2.3,102.0,0.348,0.035,0.55,0.501,15.3,32.1,0.264,0.502,14.4,65.7,0.265,Arizona Veterans Memorial Coliseum,458347.0,11179.0,1987
17.0,Golden State Warriors,26.9,42.0,40.0,35.0,47.0,-2.34,-0.2,-2.54,108.9,111.2,-2.3,101.7,0.341,0.049,0.539,0.487,13.7,32.5,0.266,0.503,14.2,65.3,0.272,Oakland-Alameda County Coliseum Arena,423997.0,10341.0,1987
18.0,Sacramento Kings,26.3,29.0,53.0,33.0,49.0,-3.22,-0.12,-3.34,108.9,112.1,-3.2,101.3,0.334,0.041,0.535,0.48,14.2,35.2,0.266,0.498,12.4,67.8,0.257,ARCO Arena (I),423653.0,10333.0,1987
19.0,Cleveland Cavaliers,24.6,31.0,51.0,31.0,51.0,-3.82,0.63,-3.19,102.6,106.4,-3.8,101.3,0.359,0.047,0.519,0.476,16.4,34.4,0.25,0.484,14.2,65.9,0.224,Coliseum at Richfield,447125.0,10905.0,1987
20.0,New Jersey Nets,26.2,24.0,58.0,28.0,54.0,-5.05,0.63,-4.42,105.6,110.5,-4.9,101.8,0.368,0.063,0.54,0.487,16.4,33.2,0.282,0.488,13.8,68.1,0.33,Brendan Byrne Arena,452704.0,11042.0,1987
21.0,San Antonio Spurs,27.1,28.0,54.0,28.0,54.0,-5.1,0.01,-5.09,105.9,110.8,-4.9,101.7,0.307,0.054,0.525,0.482,14.2,34.3,0.228,0.514,14.5,68.1,0.244,HemisFair Arena,341132.0,8320.0,1987
22.0,New York Knicks,26.4,24.0,58.0,25.0,57.0,-6.27,0.85,-5.42,104.8,111.1,-6.3,98.5,0.336,0.053,0.528,0.483,15.0,31.2,0.246,0.497,14.6,61.9,0.27,Madison Square Garden (IV),538048.0,13123.0,1987
23.0,Los Angeles Clippers,26.2,12.0,70.0,16.0,66.0,-11.43,0.42,-11.0,101.2,112.3,-11.1,102.7,0.343,0.047,0.508,0.457,15.0,31.8,0.255,0.526,15.5,64.3,0.258,Los Angeles Memorial Sports Arena,316140.0,7711.0,1987
1.0,Boston Celtics,29.8,57.0,25.0,56.0,26.0,5.94,0.22,6.15,115.4,109.4,6.0,97.9,0.333,0.102,0.588,0.541,14.1,29.8,0.267,0.489,12.5,68.5,0.237,Boston Garden,611231.0,14890.0,1988
2.0,Los Angeles Lakers,28.9,62.0,20.0,56.0,26.0,5.84,-1.03,4.81,113.1,107.3,5.8,99.1,0.35,0.068,0.566,0.515,13.9,32.3,0.276,0.484,13.0,67.9,0.206,The Forum,708477.0,17280.0,1988
3.0,Detroit Pistons,27.5,54.0,28.0,54.0,28.0,5.17,0.29,5.46,110.5,105.3,5.2,98.3,0.372,0.029,0.548,0.497,14.2,34.2,0.282,0.475,14.0,68.5,0.245,Pontiac Silverdome,1066505.0,26012.0,1988
4.0,Dallas Mavericks,27.0,53.0,29.0,52.0,30.0,4.37,-0.77,3.59,112.2,107.7,4.5,97.0,0.349,0.073,0.54,0.485,13.2,37.5,0.275,0.481,13.0,67.5,0.203,Reunion Arena,695592.0,16966.0,1988
5.0,Portland Trail Blazers,27.1,53.0,29.0,52.0,30.0,4.52,-0.94,3.59,111.8,107.4,4.4,103.6,0.362,0.051,0.55,0.499,13.5,34.3,0.279,0.485,14.5,68.4,0.275,Memorial Coliseum,519306.0,12666.0,1988
6.0,Denver Nuggets,28.7,54.0,28.0,51.0,31.0,4.07,-0.75,3.32,110.1,106.3,3.8,105.5,0.288,0.071,0.534,0.486,11.7,29.7,0.231,0.498,16.0,67.4,0.26,McNichols Sports Arena,520881.0,12704.0,1988
7.0,Utah Jazz,27.3,47.0,35.0,51.0,31.0,3.68,-0.73,2.96,106.8,103.1,3.7,101.5,0.339,0.057,0.546,0.5,15.4,30.4,0.254,0.459,14.9,66.7,0.262,Salt Palace,503969.0,12292.0,1988
8.0,Atlanta Hawks,26.8,50.0,32.0,51.0,31.0,3.6,0.42,4.02,111.3,107.6,3.7,96.4,0.344,0.04,0.541,0.491,13.0,34.3,0.264,0.481,14.2,67.3,0.28,Omni Coliseum,572460.0,13962.0,1988
9.0,Chicago Bulls,25.5,50.0,32.0,50.0,32.0,3.4,0.35,3.76,109.0,105.5,3.5,95.5,0.317,0.035,0.539,0.494,13.6,34.0,0.24,0.478,13.5,70.6,0.24,Chicago Stadium,740411.0,18059.0,1988
10.0,Seattle SuperSonics,25.6,44.0,38.0,46.0,36.0,2.06,-0.77,1.29,110.2,108.1,2.1,100.2,0.328,0.086,0.536,0.491,13.9,36.3,0.245,0.495,15.9,67.2,0.33,Seattle Center Coliseum,475983.0,11609.0,1988
11.0,Houston Rockets,27.7,46.0,36.0,45.0,37.0,1.39,-0.57,0.82,107.1,105.7,1.4,101.8,0.338,0.04,0.529,0.476,13.9,33.1,0.263,0.473,14.2,66.7,0.243,The Summit,681051.0,16611.0,1988
12.0,Cleveland Cavaliers,24.6,42.0,40.0,43.0,39.0,0.76,0.52,1.28,106.8,106.0,0.8,97.3,0.361,0.05,0.547,0.5,15.5,31.0,0.268,0.485,15.2,66.4,0.227,Coliseum at Richfield,504847.0,12313.0,1988
13.0,Milwaukee Bucks,28.6,42.0,40.0,42.0,40.0,0.54,0.68,1.21,108.2,107.6,0.6,97.6,0.334,0.058,0.536,0.485,13.6,31.8,0.259,0.483,14.2,66.6,0.259,MECCA Arena,441615.0,10771.0,1988
14.0,New York Knicks,25.3,38.0,44.0,40.0,42.0,-0.49,0.63,0.14,105.9,106.4,-0.5,99.1,0.319,0.078,0.525,0.477,15.5,36.0,0.242,0.486,17.0,65.5,0.324,Madison Square Garden (IV),586752.0,14311.0,1988
15.0,Washington Bullets,26.6,38.0,44.0,39.0,43.0,-0.77,0.61,-0.16,106.5,107.2,-0.7,98.1,0.346,0.019,0.524,0.47,14.4,34.2,0.267,0.487,14.4,65.2,0.231,Capital Centre,433376.0,10570.0,1988
16.0,Indiana Pacers,25.7,38.0,44.0,39.0,43.0,-0.79,0.62,-0.18,106.6,107.4,-0.8,98.0,0.277,0.068,0.535,0.492,14.1,30.1,0.216,0.481,13.5,67.9,0.263,Market Square Arena,502244.0,12250.0,1988
17.0,Philadelphia 76ers,27.2,36.0,46.0,37.0,45.0,-1.44,0.65,-0.79,108.8,110.3,-1.5,96.0,0.403,0.069,0.543,0.485,15.2,35.4,0.308,0.506,13.8,67.5,0.232,The Spectrum,505245.0,12323.0,1988
18.0,Phoenix Suns,27.5,28.0,54.0,30.0,52.0,-4.48,-0.33,-4.8,107.0,111.4,-4.4,101.2,0.301,0.049,0.538,0.494,14.6,31.5,0.23,0.507,13.4,68.3,0.265,Arizona Veterans Memorial Coliseum,452354.0,11033.0,1988
19.0,San Antonio Spurs,26.2,31.0,51.0,29.0,53.0,-4.88,-0.14,-5.02,108.2,112.8,-4.6,104.4,0.319,0.055,0.54,0.499,14.1,32.0,0.234,0.512,14.0,64.4,0.242,HemisFair Arena,334354.0,8155.0,1988
20.0,Sacramento Kings,26.1,24.0,58.0,27.0,55.0,-5.76,-0.08,-5.84,106.5,112.1,-5.6,100.9,0.317,0.061,0.53,0.481,14.8,33.7,0.245,0.506,12.3,68.1,0.237,ARCO Arena (I),423653.0,10333.0,1988
21.0,New Jersey Nets,26.7,19.0,63.0,21.0,61.0,-8.11,1.13,-6.98,101.4,109.6,-8.2,98.6,0.337,0.066,0.523,0.478,16.0,30.4,0.245,0.506,15.2,68.6,0.274,Brendan Byrne Arena,476054.0,11611.0,1988
22.0,Golden State Warriors,25.4,20.0,62.0,21.0,61.0,-8.32,-0.06,-8.38,104.7,112.9,-8.2,101.6,0.298,0.042,0.524,0.474,14.3,31.2,0.237,0.511,14.4,65.1,0.283,Oakland-Alameda County Coliseum Arena,440294.0,10739.0,1988
23.0,Los Angeles Clippers,26.2,17.0,65.0,16.0,66.0,-10.32,0.07,-10.24,97.4,107.6,-10.2,100.8,0.32,0.044,0.494,0.449,15.7,30.9,0.229,0.486,14.8,65.4,0.244,Los Angeles Memorial Sports Arena,345589.0,8429.0,1988
1.0,Cleveland Cavaliers,26.1,57.0,25.0,60.0,22.0,7.6,0.35,7.95,110.6,102.9,7.7,98.0,0.353,0.069,0.559,0.514,14.2,31.2,0.264,0.473,15.0,67.1,0.185,Coliseum at Richfield,721426.0,17596.0,1989
2.0,Phoenix Suns,25.7,55.0,27.0,59.0,23.0,7.7,-0.86,6.84,113.1,105.7,7.4,104.5,0.344,0.064,0.56,0.509,12.8,30.8,0.272,0.476,13.5,67.7,0.225,Arizona Veterans Memorial Coliseum,447061.0,10904.0,1989
3.0,Los Angeles Lakers,29.5,57.0,25.0,58.0,24.0,7.17,-0.79,6.38,113.8,106.7,7.1,100.1,0.351,0.093,0.57,0.518,14.0,33.0,0.282,0.482,13.0,68.9,0.205,Great Western Forum,717349.0,17496.0,1989
4.0,Detroit Pistons,28.7,63.0,19.0,56.0,26.0,5.8,0.44,6.24,110.8,104.7,6.1,95.5,0.346,0.058,0.551,0.502,14.4,34.5,0.266,0.458,13.2,69.2,0.26,The Palace of Auburn Hills,879405.0,21449.0,1989
5.0,Utah Jazz,27.4,51.0,31.0,55.0,27.0,5.02,-1.01,4.01,106.6,101.5,5.1,98.0,0.416,0.058,0.55,0.491,16.4,32.0,0.32,0.447,13.9,68.1,0.246,Salt Palace,509501.0,12427.0,1989
6.0,Atlanta Hawks,28.5,52.0,30.0,54.0,28.0,4.91,0.35,5.26,112.2,107.2,5.0,98.3,0.375,0.055,0.54,0.48,13.5,37.1,0.3,0.482,15.4,64.7,0.256,Omni Coliseum,644291.0,15714.0,1989
7.0,Milwaukee Bucks,28.5,49.0,33.0,50.0,32.0,3.61,0.5,4.11,110.1,106.4,3.7,98.6,0.332,0.079,0.544,0.487,13.7,32.7,0.273,0.493,16.1,67.5,0.266,Bradley Center,700984.0,17097.0,1989
